Clave,Asignatura,Semestre,Creditos,Grupo,Turno,Profesor,Lun,Mar,Mie,Jue,Vie,Carrera
IIA101,Fundamentos de Programación,1,6.0,1BM1,M,LOPEZ HERNANDEZ RICARDO,07:00-08:30,,07:00-08:30,,07:00-08:30,IA
IIA102,Matemáticas Discretas,1,5.0,1BM1,M,GARCIA MARTINEZ ANA MARIA,,07:00-08:30,,07:00-08:30,08:30-10:00,IA
IIA103,Cálculo,1,6.0,1BM1,M,PEREZ RODRIGUEZ JUAN CARLOS,08:30-10:00,,08:30-10:00,,08:30-10:00,IA
IIA104,Comunicación Oral y Escrita,1,4.0,1BM1,M,RAMIREZ FLORES SOFIA,10:30-12:00,,10:30-12:00,,,IA
IIA105,Mecánica y Electromagnetismo,1,5.0,1BM1,M,SANCHEZ GONZALEZ LUIS,,08:30-10:00,,08:30-10:00,10:30-12:00,IA
IIA106,Fundamentos Económicos,1,4.0,1BM1,M,TORRES VAZQUEZ MIGUEL,,10:30-12:00,,10:30-12:00,,IA
IIA101,Fundamentos de Programación,1,6.0,1BM2,M,LOPEZ HERNANDEZ RICARDO,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA102,Matemáticas Discretas,1,5.0,1BM2,M,GARCIA MARTINEZ ANA MARIA,10:30-12:00,,,10:30-12:00,08:30-10:00,IA
IIA103,Cálculo,1,6.0,1BM2,M,PEREZ RODRIGUEZ JUAN CARLOS,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA104,Comunicación Oral y Escrita,1,4.0,1BM2,M,RAMIREZ FLORES SOFIA,,07:00-08:30,,07:00-08:30,,IA
IIA105,Mecánica y Electromagnetismo,1,5.0,1BM2,M,SANCHEZ GONZALEZ LUIS,08:30-10:00,,08:30-10:00,,08:30-10:00,IA
IIA106,Fundamentos Económicos,1,4.0,1BM2,M,TORRES VAZQUEZ MIGUEL,07:00-08:30,,,08:30-10:00,,IA
IIA101,Fundamentos de Programación,1,6.0,1BV1,V,HERNANDEZ RUIZ JAVIER,15:00-16:30,,15:00-16:30,15:00-16:30,,IA
IIA102,Matemáticas Discretas,1,5.0,1BV1,V,DIAZ MORALES CLAUDIA,,15:00-16:30,,15:00-16:30,16:30-18:00,IA
IIA103,Cálculo,1,6.0,1BV1,V,CASTILLO ORTIZ FERNANDO,16:30-18:00,,16:30-18:00,,16:30-18:00,IA
IIA104,Comunicación Oral y Escrita,1,4.0,1BV1,V,MENDOZA ALVAREZ LUCIA,18:30-20:00,,18:30-20:00,,,IA
IIA105,Mecánica y Electromagnetismo,1,5.0,1BV1,V,VARGAS NAVARRO ALBERTO,,16:30-18:00,18:30-20:00,,18:30-20:00,IA
IIA106,Fundamentos Económicos,1,4.0,1BV1,V,ROJAS JIMENEZ PATRICIA,,18:30-20:00,,18:30-20:00,,IA
IIA201,Algoritmos y Estructuras de Datos,2,6.0,2BM1,M,GOMEZ SOTO ADRIAN,08:30-10:00,,08:30-10:00,08:30-10:00,,IA
IIA202,Fundamentos de Diseño Digital,2,5.0,2BM1,M,RUIZ VELASCO ROBERTO,,10:30-12:00,10:30-12:00,,10:30-12:00,IA
IIA203,Cálculo Multivariable,2,5.0,2BM1,M,HERNANDEZ VASQUEZ CESAR,10:30-12:00,08:30-10:00,,10:30-12:00,,IA
IIA204,"Ingeniería, Ética y Sociedad",2,3.0,2BM1,M,ARREDONDO SANCHEZ ANA LAURA,07:00-08:30,,,07:00-08:30,08:30-10:00,IA
IIA205,Álgebra Lineal,2,5.0,2BM1,M,HERRERA YAÑEZ CRISPIN,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
IIA206,Finanzas Empresariales,2,4.0,2BM1,M,RODRIGUEZ FLORES EDUARDO,,07:00-08:30,07:00-08:30,,07:00-08:30,IA
IIA201,Algoritmos y Estructuras de Datos,2,6.0,2BM2,M,GOMEZ SOTO ADRIAN,,08:30-10:00,,08:30-10:00,12:00-13:30,IA
IIA202,Fundamentos de Diseño Digital,2,5.0,2BM2,M,HERNANDEZ SECUNDINO JOSE CELESTINO ELIAS,12:00-13:30,,12:00-13:30,12:00-13:30,,IA
