Clave,Asignatura,Semestre,Creditos,Grupo,Turno,Profesor,Lun,Mar,Mie,Jue,Vie,Carrera
LCD101,Fundamentos de Programación,1,7.5,1AM1,M,CASTRO RUIZ ROBERTO,07:00-08:30,,07:00-08:30,,07:00-08:30,LCD
LCD102,Matemáticas Discretas,1,10.5,1AM1,M,DOMINGUEZ ALVAREZ SOFIA,,07:00-08:30,,07:00-08:30,08:30-10:00,LCD
LCD103,Cálculo,1,7.5,1AM1,M,VELAZQUEZ LOPEZ MARTIN,08:30-10:00,,08:30-10:00,,10:30-12:00,LCD
LCD104,Comunicación Oral y Escrita,1,7.5,1AM1,M,PEREZ GIL ANDREA,10:30-12:00,,10:30-12:00,,,LCD
LCD105,Introducción a la ciencia de datos,1,6.0,1AM1,M,NAVARRO SOTO JORGE,,10:30-12:00,,10:30-12:00,,LCD
LCD101,Fundamentos de Programación,1,7.5,1AV1,V,REYES GUZMAN CARLOS,15:00-16:30,,15:00-16:30,15:00-16:30,,LCD
LCD102,Matemáticas Discretas,1,10.5,1AV1,V,SANDOVAL MEJIA DIANA,,15:00-16:30,,15:00-16:30,16:30-18:00,LCD
LCD103,Cálculo,1,7.5,1AV1,V,ORTEGA JIMENEZ LUIS,16:30-18:00,,16:30-18:00,,18:30-20:00,LCD
LCD104,Comunicación Oral y Escrita,1,7.5,1AV1,V,VARGAS LOPEZ MARIANA,18:30-20:00,,18:30-20:00,,,LCD
LCD105,Introducción a la ciencia de datos,1,6.0,1AV1,V,MENDEZ RUIZ FERNANDO,,18:30-20:00,,18:30-20:00,,LCD
LCD201,Algoritmos y Estructuras de Datos,2,7.5,2AM1,M,SUAREZ CASTAÑON MIGUEL SANTIAGO,07:00-08:30,,,07:00-08:30,08:30-10:00,LCD
LCD202,Álgebra Lineal,2,7.5,2AM1,M,GONZALEZ CISNEROS ALEJANDRO,,10:30-12:00,10:30-12:00,,10:30-12:00,LCD
LCD203,Ética y Legalidad,2,9.0,2AM1,M,ORTEGA GONZALEZ JEAN MIA,,07:00-08:30,07:00-08:30,,07:00-08:30,LCD
LCD204,Cálculo Multivariable,2,10.5,2AM1,M,HERNANDEZ VASQUEZ CESAR,08:30-10:00,,08:30-10:00,08:30-10:00,12:00-13:30,LCD
LCD205,Fundamentos Económicos,2,7.5,2AM1,M,RAMIREZ TENORIO RAFAEL,10:30-12:00,08:30-10:00,,10:30-12:00,,LCD
LCD201,Algoritmos y Estructuras de Datos,2,7.5,2AM2,M,RUEDA MELENDEZ JOSE MARCO ANTONIO,,07:00-08:30,07:00-08:30,,07:00-08:30,LCD
LCD202,Álgebra Lineal,2,7.5,2AM2,M,VAZQUEZ ARREGUIN ROBERTO,08:30-10:00,,08:30-10:00,08:30-10:00,,LCD
LCD203,Ética y Legalidad,2,9.0,2AM2,M,MARTINEZ ACOSTA LILIAN,07:00-08:30,,,07:00-08:30,08:30-10:00,LCD
LCD204,Cálculo Multivariable,2,10.5,2AM2,M,MARTÍNEZ GARCÍA CÉSAR RÓMAN,10:30-12:00,08:30-10:00,12:00-13:30,10:30-12:00,,LCD
LCD205,Fundamentos Económicos,2,7.5,2AM2,M,RAMIREZ TENORIO RAFAEL,,10:30-12:00,10:30-12:00,,10:30-12:00,LCD
LCD201,Algoritmos y Estructuras de Datos,2,7.5,2AV1,V,CRUZ GARCIA DANIEL,15:00-16:30,,,15:00-16:30,16:30-18:00,LCD
LCD202,Álgebra Lineal,2,7.5,2AV1,V,ORTUÑO ARAUJO JESUS,,15:00-16:30,15:00-16:30,,15:00-16:30,LCD
LCD203,Ética y Legalidad,2,9.0,2AV1,V,DORANTES CORDERO MARTHA MARGARITA,,18:30-20:00,18:30-20:00,,18:30-20:00,LCD
LCD204,Cálculo Multivariable,2,10.5,2AV1,V,ZARATE CARDENAS ALEJANDRO,16:30-18:00,,16:30-18:00,16:30-18:00,13:30-15:00,LCD
LCD205,Fundamentos Económicos,2,7.5,2AV1,V,MARTINEZ PERALES JOSE CRUZ,18:30-20:00,16:30-18:00,,18:30-20:00,,LCD
LCD201,Algoritmos y Estructuras de Datos,2,7.5,2AV2,V,CARMONA GARCIA ENRIQUE ALFONSO,16:30-18:00,,16:30-18:00,16:30-18:00,,LCD
LCD202,Álgebra Lineal,2,7.5,2AV2,V,ORTUÑO ARAUJO JESUS,15:00-16:30,,,15:00-16:30,16:30-18:00,LCD
LCD204,Cálculo Multivariable,2,10.5,2AV2,V,GUTIERREZ MEJIA DARWIN,,15:00-16:30,15:00-16:30,13:30-15:00,15:00-16:30,LCD
LCD301,Análisis y Diseño de Algoritmos,3,7.5,3AM1,M,SANCHEZ GARCIA LUZ MARIA,,10:30-12:00,10:30-12:00,,10:30-12:00,LCD
LCD302,Programación para Ciencia de Datos,3,7.5,3AM1,M,RAMIREZ MORALES MARIO AUGUSTO,,07:00-08:30,07:00-08:30,,07:00-08:30,LCD
LCD303,Bases de Datos,3,7.5,3AM1,M,VELEZ SALDAÑA ULISES,08:30-10:00,,08:30-10:00,08:30-10:00,,LCD
LCD304,Probabilidad,3,10.5,3AM1,M,CRUZ ROJAS JORGE ALBERTO,10:30-12:00,08:30-10:00,,10:30-12:00,12:00-13:30,LCD
LCD305,Métodos Numéricos,3,10.5,3AM1,M,GUTIERREZ ALDANA EDUARDO,12:00-13:30,12:00-13:30,12:00-13:30,12:00-13:30,,LCD
LCD306,Finanzas Empresariales,3,7.5,3AM1,M,MENDOZA MACIAS ELBA,07:00-08:30,,,07:00-08:30,08:30-10:00,LCD
LCD301,Análisis y Diseño de Algoritmos,3,7.5,3AM2,M,ALBORTANTE MORATO CECILIA,08:30-10:00,,08:30-10:00,08:30-10:00,,LCD
LCD302,Programación para Ciencia de Datos,3,7.5,3AM2,M,AGUILAR VELAZQUEZ DANIEL,,07:00-08:30,07:00-08:30,,07:00-08:30,LCD
LCD303,Bases de Datos,3,7.5,3AM2,M,CHAVARRIA BAEZ LORENA,07:00-08:30,,,07:00-08:30,08:30-10:00,LCD
LCD304,Probabilidad,3,10.5,3AM2,M,SANTIAGO VALENTIN ERIC,12:00-13:30,12:00-13:30,12:00-13:30,12:00-13:30,,LCD
LCD305,Métodos Numéricos,3,10.5,3AM2,M,ORTIGOZA CAMPOS M. en C. ANDRES,10:30-12:00,08:30-10:00,,10:30-12:00,12:00-13:30,LCD
LCD306,Finanzas Empresariales,3,7.5,3AM2,M,AGUSTIN DOMINGUEZ VERONICA,,10:30-12:00,10:30-12:00,,10:30-12:00,LCD
LCD301,Análisis y Diseño de Algoritmos,3,7.5,3AV1,V,GARCIA FLORIANO ANDRES,20:00-21:30,,20:00-21:30,20:00-21:30,,LCD
LCD302,Programación para Ciencia de Datos,3,7.5,3AV1,V,SANCHEZ BRITO MIGUEL,,18:30-20:00,18:30-20:00,,18:30-20:00,LCD
LCD303,Bases de Datos,3,7.5,3AV1,V,BLANCO ALMAZAN IVAN EDUARDO,16:30-18:00,,16:30-18:00,16:30-18:00,,LCD
LCD304,Probabilidad,3,10.5,3AV1,V,ZARATE CARDENAS ALEJANDRO,13:30-15:00,15:00-16:30,15:00-16:30,,15:00-16:30,LCD
LCD305,Métodos Numéricos,3,10.5,3AV1,V,RODRIGUEZ JORDAN GABRIEL DE JESUS,15:00-16:30,,13:30-15:00,15:00-16:30,16:30-18:00,LCD
LCD306,Finanzas Empresariales,3,7.5,3AV1,V,RAMIREZ GUZMAN ALICIA MARCELA,18:30-20:00,16:30-18:00,,18:30-20:00,,LCD
LCD401,Desarrollo de Aplicaciones Web,4,7.5,4AM1,M,BAUTISTA ROSALES SANDRA IVETTE,,10:30-12:00,10:30-12:00,,10:30-12:00,LCD
LCD402,Cómputo de Alto Desempeño,4,9.0,4AM1,M,CRUZ TORRES BENJAMIN,12:00-13:30,,12:00-13:30,12:00-13:30,12:00-13:30,LCD
LCD403,Bases de Datos Avanzadas,4,10.5,4AM1,M,RANGEL NAHUM CARLOS ALEXIS,13:30-15:00,12:00-15:00,,13:30-15:00,,LCD
LCD404,Estadística,4,10.5,4AM1,M,FLORES MERAZ YESICA SONIA,10:30-12:00,08:30-10:00,13:30-15:00,10:30-12:00,,LCD
LCD405,Liderazgo Personal,4,7.5,4AM1,M,SERRANO ROMERO CLAUDIA WENDY,,07:00-08:30,07:00-08:30,,07:00-08:30,LCD
LCD406,Desarrollo de Aplicaciones para Análisis de Datos,4,7.5,4AM1,M,LÓPEZ GÓMEZ ALEJANDRO,,12:00-13:30,12:00-13:30,,12:00-13:30,LCD
LCD401,Desarrollo de Aplicaciones Web,4,7.5,4AM2,M,VELEZ SALDAÑA ULISES,,07:00-08:30,07:00-08:30,,07:00-08:30,LCD
LCD402,Cómputo de Alto Desempeño,4,9.0,4AM2,M,IBAÑEZ ZAMORA LUIS ALBERTO,10:30-12:00,08:30-10:00,13:30-15:00,10:30-12:00,,LCD
LCD406,Desarrollo de Aplicaciones para Análisis de Datos,4,7.5,4AM2,M,LÓPEZ GÓMEZ ALEJANDRO,,10:30-12:00,10:30-12:00,,10:30-12:00,LCD
LCD403,Bases de Datos Avanzadas,4,10.5,4AM2,M,BOTELLO CASTILLO ALEJANDRO,12:00-13:30,,12:00-13:30,12:00-13:30,12:00-13:30,LCD
LCD404,Estadística,4,10.5,4AM2,M,CRUZ ROJAS JORGE ALBERTO,08:30-10:00,12:00-13:30,08:30-10:00,08:30-10:00,,LCD
LCD405,Liderazgo Personal,4,7.5,4AM2,M,SERRANO ROMERO CLAUDIA WENDY,07:00-08:30,,,07:00-08:30,08:30-10:00,LCD
LCD501,Aprendizaje de Máquina e Inteligencia Artificial,5,7.5,5AM1,M,GARCIA MENDOZA CONSUELO VARINIA,07:00-08:30,,,07:00-08:30,08:30-10:00,LCD
LCD502,Analítica y Visualización de Datos,5,7.5,5AM1,M,LÓPEZ GÓMEZ ALEJANDRO,08:30-10:00,,08:30-10:00,08:30-10:00,,LCD
LCD503,Minería de Datos,5,7.5,5AM1,M,OCAMPO BOTELLO FABIOLA,,10:30-12:00,10:30-12:00,,10:30-12:00,LCD
LCD504,Procesos Estocásticos,5,10.5,5AM1,M,SANCHEZ VELEZ RICARDO,12:00-13:30,12:00-13:30,12:00-13:30,12:00-13:30,,LCD
LCD505,Matemáticas Avanzadas para Ciencia de Datos,5,10.5,5AM1,M,VAZQUEZ GONZALEZ LEONOR,10:30-12:00,08:30-10:00,,10:30-12:00,12:00-13:30,LCD
LCD506,Metodología de la Investigación y Divulgación Científica,5,7.5,5AM1,M,CELIS DOMINGUEZ ADRIANA BERENICE,,07:00-08:30,07:00-08:30,,07:00-08:30,LCD
LCD501,Aprendizaje de Máquina e Inteligencia Artificial,5,7.5,5AM2,M,REYES VERA ABDIEL,,07:00-08:30,07:00-08:30,,07:00-08:30,LCD
LCD503,Minería de Datos,5,7.5,5AM2,M,MARTÍNEZ HERNÁNDEZ GUADALUPE ANA GABRIELA,08:30-10:00,,08:30-10:00,08:30-10:00,,LCD
LCD504,Procesos Estocásticos,5,10.5,5AM2,M,SANCHEZ VELEZ RICARDO,10:30-12:00,08:30-10:00,,10:30-12:00,12:00-13:30,LCD
LCD505,Matemáticas Avanzadas para Ciencia de Datos,5,10.5,5AM2,M,ARCOS DIAZ ELSA LETICIA,,10:30-12:00,10:30-12:00,,08:30-12:00,LCD
LCD506,Metodología de la Investigación y Divulgación Científica,5,7.5,5AM2,M,MEDINA GONZALEZ AIDA,13:30-15:00,12:00-13:30,13:30-15:00,,,LCD
LCD501,Aprendizaje de Máquina e Inteligencia Artificial,5,7.5,5AV1,V,JIMENEZ ALCANTAR DANIEL,,18:30-20:00,18:30-20:00,,18:30-20:00,LCD
LCD502,Analítica y Visualización de Datos,5,7.5,5AV1,V,FLORES ESTRADA ITURIEL ENRIQUE,18:30-20:00,16:30-18:00,,18:30-20:00,,LCD
LCD503,Minería de Datos,5,7.5,5AV1,V,ZAGAL FLORES ROBERTO ESWART,13:30-15:00,13:30-15:00,,13:30-15:00,,LCD
LCD504,Procesos Estocásticos,5,10.5,5AV1,V,RANGEL NAHUM CARLOS ALEXIS,,15:00-16:30,15:00-16:30,,13:30-16:30,LCD
LCD505,Matemáticas Avanzadas para Ciencia de Datos,5,10.5,5AV1,V,DIAZ SANCHEZ HUGO,15:00-16:30,,13:30-15:00,15:00-16:30,16:30-18:00,LCD
LCD506,Metodología de la Investigación y Divulgación Científica,5,7.5,5AV1,V,SALDÍVAR ALMOREJO MARÍA MAGDALENA,16:30-18:00,,16:30-18:00,16:30-18:00,,LCD
LCD601,Procesamiento de Lenguaje Natural,6,4.5,6AM1,M,JUAREZ GAMBINO JOEL OMAR,,10:30-12:00,10:30-12:00,,10:30-12:00,LCD
LCD602,Analítica Avanzada de Datos,6,7.5,6AM1,M,NÚÑEZ PRADO CÉSAR JESÚS,,07:00-08:30,07:00-08:30,,07:00-08:30,LCD
LCD603,Modelado Predictivo,6,7.5,6AM1,M,GARCIA BLANQUEL CLAUDIA,08:30-10:00,,08:30-10:00,08:30-10:00,,LCD
LCD604,Análisis de Series de Tiempo,6,4.5,6AM1,M,MARTÍNEZ HERNÁNDEZ GUADALUPE ANA GABRIELA,07:00-08:30,,,07:00-08:30,08:30-10:00,LCD
LCD605,Estadística Avanzada,6,7.5,6AM1,M,LÓPEZ GÓMEZ ALEJANDRO,12:00-13:30,,12:00-13:30,12:00-13:30,,LCD
LCD606,Ciberseguridad,6,7.5,6AM1,M,VELEZ SALDAÑA ULISES,10:30-12:00,08:30-10:00,,10:30-12:00,,LCD
LCD602,Analítica Avanzada de Datos,6,7.5,6AV1,V,JIMENEZ ALCANTAR DANIEL,15:00-16:30,,,15:00-16:30,16:30-18:00,LCD
LCD603,Modelado Predictivo,6,7.5,6AV1,V,DIAZ SANCHEZ HUGO,,15:00-16:30,15:00-16:30,,15:00-16:30,LCD
LCD604,Análisis de Series de Tiempo,6,4.5,6AV1,V,GARCIA BLANQUEL CLAUDIA,,12:00-13:30,13:30-15:00,,12:00-13:30,LCD
LCD607,Simulación Básica,6,7.5,6AV1,V,RODRIGUEZ JORDAN GABRIEL DE JESUS,16:30-18:00,,16:30-18:00,16:30-18:00,,LCD
LCD608,Bioinformática Básica,6,7.5,6AV1,V,PEREZ RUIZ CARLOS,,15:00-16:30,15:00-16:30,,15:00-16:30,LCD
LCD609,Propiedad Intelectual,6,7.5,6AV1,V,PAREDES CADENA MYRIAM NOEMI,,15:00-16:30,15:00-16:30,,15:00-16:30,LCD
LCD701,Big Data,7,7.5,7AM1,M,ROMÁN GODÍNEZ RODRIGO FRANCISCO,08:30-10:00,,08:30-10:00,08:30-10:00,,LCD
LCD702,Modelos Econométricos,7,7.5,7AM1,M,CHAVEZ LIMA EDUARDO,12:00-13:30,,12:00-13:30,12:00-13:30,,LCD
